user_id,age,hours_played,tasks_completed,hints_used,avg_time_per_task,current_stage,ready_to_evolve
1,8,12,45,12,120,KIDS,0
2,14,150,300,5,45,PRO,1
3,11,45,80,20,90,TWEEN,0
4,9,5,10,15,200,KIDS,0
5,16,200,450,2,30,PRO,1
6,10,25,50,8,110,TWEEN,0
7,12,60,120,10,80,TEEN,1
8,7,2,5,10,300,KIDS,0
9,15,180,400,3,35,PRO,1
10,13,90,200,15,60,TEEN,1
11,8,15,48,11,118,KIDS,0
12,14,145,290,6,46,PRO,1
13,11,48,85,18,88,TWEEN,1
14,9,6,12,14,195,KIDS,0
15,16,210,460,1,28,PRO,1
16,10,28,55,7,105,TWEEN,0
17,12,65,125,9,78,TEEN,1
18,7,3,6,9,290,KIDS,0
19,15,185,410,2,34,PRO,1
20,13,95,210,14,58,TEEN,1
21,8,18,50,10,115,KIDS,0
22,14,155,310,4,44,PRO,1
23,11,50,90,16,85,TWEEN,1
24,9,8,15,13,190,KIDS,0
25,16,220,470,1,25,PRO,1
26,10,35,65,12,100,TWEEN,0
27,15,190,420,3,32,PRO,1
28,7,1,2,5,320,KIDS,0
29,13,85,190,16,65,TEEN,0
30,9,9,18,12,180,KIDS,0
31,17,250,500,0,20,PRO,1
32,11,40,75,22,95,TWEEN,0
33,12,70,140,8,75,TEEN,1
34,8,20,55,9,110,KIDS,1
35,14,160,320,4,42,PRO,1
36,10,30,60,10,108,TWEEN,0
37,13,100,220,12,55,TEEN,1
38,9,10,20,11,175,KIDS,0
39,16,230,480,1,26,PRO,1
40,11,55,100,14,82,TWEEN,1
41,12,58,110,11,85,TEEN,0
42,7,4,8,8,280,KIDS,0
43,15,175,390,4,36,PRO,1
44,14,130,280,7,48,PRO,1
45,10,32,62,11,102,TWEEN,0
46,8,14,46,13,125,KIDS,0
47,13,88,195,15,62,TEEN,0
48,9,7,14,14,192,KIDS,0
49,16,205,455,2,29,PRO,1
50,11,42,78,21,92,TWEEN,0
